$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  5222.0,  -12.47,
  5223.0,    0.45,
  5224.0,  -12.04,
  5225.0,  -34.23,
  5226.0,    3.71,
  5227.0,  -15.86,
  5228.0,  -17.14,
  5229.0,  -42.00,
  5230.0,  -26.77,
  5231.0,  -24.40,
  5232.0,  -39.86,
  5233.0,  -24.35,
  5234.0,  -37.22,
  5235.0,  -42.87,
  5236.0,  -66.85,
  5237.0,  -33.15,
  5238.0,  -54.06,
  5239.0,  -29.72,
  5240.0,  -80.56,
  5241.0,   -3.97,
  5242.0,   97.43,
  5243.0,   -9.31,
  5244.0,  -14.90,
  5245.0,   48.56,
  5246.0,   90.83,
  5247.0,  -23.71,
  5248.0,    1.05,
  5249.0,   48.26,
  5250.0,    9.12,
  5251.0,    1.05,
  5252.0,   -5.56,
  5253.0,   -4.93,
  5254.0,  -24.33,
  5255.0,   24.44,
  5256.0,  -14.01,
  5257.0,   -9.30,
  5258.0,   -8.69,
  5259.0,    2.84,
  5260.0,   -8.67,
  5261.0,   -3.27,
  5262.0,  -17.00,
  5263.0,   44.88,
  5264.0,   54.31,
  5265.0,   64.74,
  5266.0,  173.58,
  5267.0,   46.21,
  5268.0,   25.67,
  5269.0,   48.36,
  5270.0,   26.99,
  5271.0,   39.90,
  5272.0,  123.43,
  5273.0,   23.01,
  5274.0,   25.90,
  5275.0,    9.41,
  5276.0,   -5.03,
  5277.0,  -14.45,
  5278.0,   -0.73,
  5279.0,   73.38,
  5280.0,   -2.02,
  5281.0,  -28.37,
  5282.0,   -8.16,
  5283.0,   -6.13,
  5284.0,   -8.96,
  5285.0,   33.02,
  5286.0,   80.79,
  5287.0,   32.32,
  5288.0,  119.28,
  5289.0,   50.01,
  5290.0,   -0.34,
  5291.0,   -1.69,
  5292.0,    4.92,
  5293.0,   -1.22,
  5294.0,   -6.07,
  5295.0,   -7.31,
  5296.0,  -16.40,
  5297.0,    6.75,
  5298.0,  -11.62,
  5299.0,   -3.17,
  5300.0,   -4.50,
  5301.0,  -14.15,
  5302.0,   -1.07,
  5303.0,   -6.37,
  5304.0,   -7.76,
  5305.0,   -7.13,
  5306.0,   -5.92,
  5307.0,   -6.78,
  5308.0,  -10.55,
  5309.0,   -4.65,
  5310.0,   -2.73,
  5311.0,   -4.30,
  5312.0,   -3.91,
